f1,f2,robot_1,robot_2,robot_3,robot_4
6.5481860637664795,3.0700326,"[24, 2, 6, 9, 14, 15, 20, 17, 27, 11, 28, 10, 4, 29, 22, 26, 25, 21, 16]","[23, 3, 12, 7]","[19, 8, 18, 0, 5, 13]",[1]
7.086484313011169,2.464176,"[2, 6, 9, 14, 20, 15, 11, 4, 3, 29, 26, 25, 21, 16, 7]","[12, 22, 28, 23, 24]","[8, 17, 27, 18, 10, 1]","[19, 0, 5, 13]"
6.807854950428009,3.046217,"[24, 15, 20, 14, 9, 6, 2, 23, 28, 10, 4, 29, 25, 21, 16, 7]","[12, 22, 3, 26]","[19, 17, 27, 11, 18, 0, 1, 5, 13]",[8]
8.176774621009827,2.334961,"[20, 11, 4, 29, 22, 26, 25, 7]","[2, 14, 9, 6, 24, 16, 21, 23, 28, 3, 12]","[19, 27, 15, 18, 0, 10, 5, 1]","[8, 17, 13]"
6.870682001113892,3.175779,"[7, 12, 22, 29, 25, 21, 23, 28, 18, 11, 27, 17, 20, 15, 14, 9, 24]","[2, 6, 10, 4, 3, 26, 16]","[19, 8, 0, 1, 5, 13]",[]
8.408954739570618,2.51691,"[2, 14, 9, 6, 24, 28, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]","[23, 1, 27, 17]","[8, 20, 11, 18, 5, 13]","[0, 10, 15, 19]"
6.881227731704712,3.145575,"[7, 16, 21, 25, 26, 22, 29, 3, 4, 10, 28, 18, 8, 17, 20, 15, 14, 9, 6, 2]","[24, 23, 12]","[11, 0, 1]","[19, 27, 5, 13]"
7.247603178024292,2.629791,"[24, 2, 6, 9, 14, 15, 11, 28, 10, 4, 3, 29, 26, 25, 21, 7]","[16, 23, 20, 27, 19, 18, 22, 12]","[8, 17]","[0, 1, 5, 13]"
7.753050208091736,2.5487487,"[24, 6, 9, 14, 20, 27, 10, 4, 3, 22, 26, 16]","[2, 15, 28, 23, 21, 25, 29, 12, 7]","[19, 8, 17, 11, 18, 0, 1, 5]",[13]
6.752225756645203,3.4095001,"[21, 16, 23, 25, 26, 29, 3, 4, 10, 28, 18, 11, 27, 8, 17, 20, 15, 14, 9, 6, 2]","[24, 0, 1, 13, 22, 12, 7]","[19, 5]",[]
8.458698749542236,2.48412,"[2, 6, 9, 14, 15, 27, 4, 3, 29, 26, 25, 21, 16, 7]","[12, 22, 28, 18, 11, 23]","[17, 24, 10, 5, 13]","[19, 8, 20, 0, 1]"
