f1,f2,robot_1,robot_2,robot_3,robot_4
7.884019613265991,2.2346475,"[2, 14, 9, 6, 24, 4, 3, 29, 22, 26, 25, 21]","[7, 12, 0, 23, 16]","[19, 11, 28, 10, 1, 5, 13]","[18, 27, 15, 20, 17, 8]"
6.757858514785767,2.4248626,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[13, 5, 18, 27, 8]","[19, 17, 20, 15, 11, 28, 23, 10, 0, 1]"
6.185007095336914,2.6418388,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[13, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 18]"
6.788347482681274,2.2751155,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[27, 28, 10, 0, 5, 13]","[18, 1, 23, 11, 15, 20, 17, 8, 19]"
6.263606309890747,2.5297737,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[19, 1, 5, 13]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
5.909845232963562,3.0074544,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 19]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
6.535189628601074,2.4306479,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 28, 23, 10, 0, 1]","[19, 8, 17, 20, 15, 27, 11, 5, 13]"
5.891901314258575,3.0089483,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[18],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
5.33895468711853,3.0831926,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
5.649040102958679,3.0816984,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]",[19]
6.270280122756958,2.987937,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 1]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 5, 13]"
6.2338555455207825,3.064202,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[1],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 5, 13, 18]"
6.471918404102325,2.531268,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
6.285037040710449,2.6247163,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
6.937073588371277,2.511112,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 18]"
6.035804927349091,3.0816984,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],[19],"[8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
6.951925754547119,2.4306479,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[],"[19, 8, 17, 20, 15, 27, 11, 5, 13]","[18, 28, 23, 12, 10, 0, 1]"
6.2882890701293945,2.6217136,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0]"
5.725719511508942,3.0831926,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
7.174178779125214,2.3844466,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[28, 23, 10, 0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 18]"
6.330501914024353,2.6026657,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1]"
5.755690574645996,3.6420302,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 12, 10, 5, 13, 1, 0, 18]"
6.067899227142334,3.0831926,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
6.571771919727325,2.6418388,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[13, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 18]"
7.2139580845832825,2.511112,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 18]"
6.814098119735718,2.531268,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
6.440741539001465,2.8779378,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 11, 27]","[19, 8, 17, 20, 15, 23, 28, 10, 0, 1, 5, 13]"
6.717266738414764,2.6026657,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1]"
7.310017108917236,2.4747748,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 10, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 23, 28, 0]"
6.671801865100861,2.6247163,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
6.682558476924896,2.6197882,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1, 18]"
6.278666138648987,3.0089483,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],[18],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
6.675053894519806,2.6217136,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0]"
6.295086145401001,2.8847647,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 27]","[19, 8, 17, 20, 15, 11, 28, 23, 10, 0, 1, 5, 13]"
6.458424150943756,2.7956877,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[23],"[19, 8, 17, 20, 15, 27, 11, 28, 10, 0, 1, 5, 13]",[18]
5.749267816543579,4.055379,"[23, 28, 18, 11, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[13, 5, 10, 0, 1, 19]",[]
7.295939803123474,2.5005324,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[27, 18, 5, 13]","[19, 8, 17, 20, 15, 11, 28, 23, 10, 0, 1]"
7.392058193683624,2.3844466,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[1, 10, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 23, 28, 0, 18]"
6.992550849914551,2.5297737,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[19, 1, 5, 13]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
6.15876579284668,3.9284477,"[16, 23, 28, 18, 27, 17, 20, 15, 14, 9, 6, 2, 24, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[19, 8, 11, 0, 1, 5, 13]",[]
6.841284453868866,2.6182942,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[19, 0, 5, 13]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 1, 18]"
6.513765215873718,2.8090944,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 27, 8]","[19, 17, 20, 15, 11, 28, 23, 10, 0, 1, 5, 13]"
6.299335718154907,3.2233675,"[28, 11, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[19, 8, 17, 20, 27, 18, 23, 10, 0, 1, 5, 13]",[]
6.013431787490845,4.1303587,"[23, 28, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[19, 11, 0, 1, 5, 13]",[]
6.180248320102692,3.6420302,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]",[7],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 12, 10, 5, 13, 1, 0, 18]"
6.34478372335434,3.0831926,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]",[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
7.090982615947723,2.531268,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
6.383417367935181,2.9054093,"[2, 14, 9, 6, 24, 28, 4, 3, 29, 22, 26, 25, 21, 16, 7]",[],"[18, 11, 23, 12, 10, 0, 1, 5, 13]","[27, 15, 20, 17, 8, 19]"
6.2042930126190186,3.6045272,"[7, 21, 16, 23, 25, 26, 12, 22, 29, 3, 4, 10, 18, 20, 14, 9, 6, 2, 24]",[],"[19, 8, 17, 27, 15, 11, 28, 0, 1, 5, 13]",[]
6.0568811893463135,4.0122123,"[7, 21, 16, 23, 25, 26, 12, 22, 29, 3, 4, 10, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24]",[],"[19, 11, 28, 0, 1, 5, 13]",[]
6.348511099815369,2.986898,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 0]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1, 5, 13]"
7.269435346126556,2.5297737,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[19, 1, 5, 13]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
5.876177668571472,4.4349227,"[23, 28, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[0, 1, 5, 13]",[]
7.469911873340607,2.3844466,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[13, 5, 18, 17, 8, 19]","[27, 20, 15, 11, 28, 23, 10, 0, 1]"
7.374112844467163,2.4887555,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]","[23, 7]","[15, 1, 5, 13]","[19, 8, 17, 20, 27, 11, 28, 10, 0, 18]"
7.043156623840332,2.5487905,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[8, 20, 27, 28, 23, 10, 1, 18]","[19, 17, 15, 11, 0, 5, 13]"
6.085856318473816,4.1226788,"[24, 27, 8, 17, 20, 15, 14, 9, 6, 2, 21, 25, 26, 12, 22, 29, 3, 4, 10, 28, 23, 16, 7]",[],"[19, 11, 18, 0, 1, 5, 13]",[]
6.247257471084595,3.8090875,"[23, 28, 18, 20, 14, 9, 6, 2, 24, 16, 21, 25, 22, 29, 3, 4, 10, 26, 12, 7]",[],"[19, 8, 17, 27, 15, 11, 0, 1, 5, 13]",[]
6.30863744020462,3.5677862,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[],[18],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 12, 10, 0, 1, 5, 13]"
6.519877910614014,2.885419,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 8]","[19, 27, 17, 20, 15, 11, 28, 23, 10, 0, 1, 5, 13]"
6.404197692871094,3.034482,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]","[28, 7]",[],"[19, 8, 17, 20, 15, 27, 11, 23, 10, 5, 13, 1, 0, 18]"
6.827506363391876,2.8779378,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 11, 27]","[19, 8, 17, 20, 15, 23, 28, 10, 0, 1, 5, 13]"
7.40376478433609,2.5366464,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[8, 11, 28, 10, 1, 5, 13]","[19, 27, 17, 20, 15, 23, 0, 18]"
6.913951635360718,2.6418388,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[13, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 18]"
7.615221679210663,2.398763,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[19, 27, 11, 1, 5, 13]","[8, 17, 20, 15, 23, 28, 10, 0, 18]"
7.059446454048157,2.6026657,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1]"
7.482485294342041,2.4198005,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[19, 8, 27, 18, 1, 5, 13]","[17, 20, 15, 11, 28, 23, 10, 0]"
7.013981580734253,2.6247163,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
7.017233610153198,2.6217136,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0]"
6.151243209838867,4.0164566,"[23, 11, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[19, 28, 10, 0, 1, 5, 13]",[]
7.8094581961631775,2.3844466,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 23, 10, 0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28]"
6.035675764083862,4.282841,"[23, 28, 18, 11, 27, 8, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[0, 1, 5, 13]",[19]
6.914109468460083,2.671504,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]","[23, 7]","[19, 8, 17, 20, 15, 11, 28, 10, 0, 1, 5, 13]","[18, 27]"
6.130399465560913,4.1545057,"[7, 21, 16, 23, 25, 26, 12, 22, 29, 3, 4, 10, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24]",[],"[11, 28, 0, 1, 5, 13]",[]
6.130205154418945,4.2224174,"[23, 28, 11, 18, 8, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[19, 27, 0, 1, 5, 13]",[]
6.42616605758667,3.4935737,"[28, 18, 20, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[19, 8, 17, 27, 15, 11, 23, 10, 0, 1, 5, 13]",[]
6.489281237125397,3.3542066,"[24, 2, 6, 9, 14, 20, 18, 4, 3, 29, 22, 12, 26, 25, 21, 16]",[7],"[19, 8, 17, 27, 15, 11, 28, 23, 10, 0, 1, 5, 13]",[]
6.637893736362457,2.8865132,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 0, 1]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13]"
6.5574716329574585,2.9162688,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[],"[11, 28, 23, 12, 10, 0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 18]"
7.50885146856308,2.4769533,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 0, 10, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 23, 28, 1]"
7.408360004425049,2.573003,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 28, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 23, 10, 0]"
7.496749699115753,2.5292566,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]",[7],"[8, 17, 20, 15, 27, 11, 1, 5, 13]","[19, 18, 28, 23, 12, 10, 0]"
6.154714822769165,4.045191,"[23, 28, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[11, 10, 0, 1, 5, 13]",[]
7.336330950260162,2.6026657,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1]"
7.294118106365204,2.6217136,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0]"
7.159767210483551,2.623222,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[13, 5, 18, 19]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
6.115195274353027,4.2630463,"[23, 28, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[18, 11, 0, 1, 5, 13]",[]
7.301622688770294,2.6197882,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1, 18]"
7.821041584014893,2.4326923,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22]","[23, 26, 12, 7]","[17, 1, 5, 13]","[19, 8, 27, 20, 15, 11, 28, 10, 0, 18]"
6.339679956436157,3.9492605,"[7, 12, 25, 26, 22, 29, 3, 4, 10, 18, 19, 27, 17, 20, 15, 14, 9, 6, 2, 24, 23, 16, 21]",[],"[8, 11, 28, 0, 1, 5, 13]",[]
6.407915830612183,3.9468257,"[23, 27, 8, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[19, 17, 11, 28, 0, 1, 5, 13, 18]",[]
6.086950659751892,4.2726526,"[23, 28, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 10, 4, 3, 29, 22, 12, 7]",[],"[11, 0, 1, 5, 13]",[]
6.18295955657959,4.0355844,"[23, 28, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 11, 10, 0, 1, 5, 13]",[]
7.843978106975555,2.3844466,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[19, 11, 23, 1, 5, 13]","[8, 17, 20, 15, 27, 28, 10, 0, 18]"
6.490333735942841,3.640536,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]",[7],"[8, 17, 20, 15, 27, 11, 28, 23, 12, 10, 5, 13, 1, 0, 18]",[19]
6.79212361574173,2.935903,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[5, 18]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 13]"
7.51096498966217,2.5803576,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12, 23]","[19, 20, 15, 11, 28, 10, 5, 13, 1, 0, 18]","[27, 17, 8]"
6.185997486114502,4.0418267,"[23, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[11, 28, 10, 0, 1, 5, 13]",[]
6.620620369911194,3.064202,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],[1],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 5, 13, 18]"
6.955650985240936,2.8200383,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[18, 0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10]"
7.625664055347443,2.4956045,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[27, 0, 5, 13]","[19, 8, 17, 20, 15, 11, 28, 23, 10, 1, 18]"
7.700962841510773,2.4887776,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[27, 11, 0, 5, 13]","[19, 8, 17, 20, 15, 23, 28, 10, 1, 18]"
7.190836131572723,2.6418388,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[13, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 18]"
7.413198947906494,2.6163623,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[11, 18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 28, 23, 10, 0]"
7.2908660769462585,2.6247163,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
6.4418511390686035,3.8831544,"[23, 18, 19, 27, 17, 20, 15, 14, 9, 6, 2, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[8, 11, 28, 10, 0, 1, 5, 13]",[]
6.34034276008606,3.955518,"[7, 12, 25, 26, 22, 29, 3, 4, 10, 18, 27, 8, 20, 15, 14, 9, 6, 2, 24, 23, 16, 21]",[],"[19, 17, 11, 28, 0, 1, 5, 13]",[]
6.164811372756958,4.5633364,"[24, 11, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2, 7, 12, 25, 26, 22, 29, 3, 4, 10, 28, 23, 16, 21]",[],"[19, 0, 1, 5, 13]",[]
7.148573040962219,2.671504,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]","[23, 12]","[19, 8, 17, 20, 15, 11, 28, 10, 0, 1, 5, 13]","[18, 27]"
7.5200212597846985,2.5196502,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]",[7],"[8, 17, 20, 15, 27, 11, 18, 1, 5, 13]","[19, 28, 23, 12, 10, 0]"
7.306693434715271,2.6197882,"[7, 26, 22, 29, 3, 4, 25, 21, 16, 24, 6, 9, 14, 2]",[12],"[0, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 1, 18]"
7.904993951320648,2.403102,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[18, 11, 23, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 28, 10, 0]"
6.638789772987366,3.0074544,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[18, 19]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
7.850848138332367,2.4357498,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26]","[7, 12]","[27, 20, 15, 18, 0, 5, 13]","[19, 8, 17, 11, 28, 23, 10, 1]"
6.656833648681641,2.9445505,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[0, 1, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 13, 18]"
