f1,f2,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6
8.677659898996353,2.419344,"[29, 21, 14, 6]","[9, 10, 8, 15, 23, 19, 5, 3, 1, 13, 26]","[28, 12]","[22, 17, 11]","[7, 20, 24, 27, 18]","[25, 16, 4, 2, 0]"
8.61672580242157,2.4845276,[],"[14, 21, 29, 6, 26]","[1, 13, 9, 10, 8, 15, 23, 19]","[5, 3, 17, 22]","[20, 7, 12, 28]","[18, 11, 24, 27, 25, 16, 4, 2, 0]"
8.520785570144653,3.0376163,"[13, 29, 21, 14, 6, 26, 9, 10, 8]","[1, 15, 23, 19, 3, 5, 28, 11, 17, 22]","[24, 18, 20, 7, 12]","[25, 27]",[],"[2, 4, 16, 0]"
9.11517584323883,1.9867656,"[29, 21, 14, 6]","[9, 10, 8, 13, 26]","[1, 15, 23, 19, 3, 5, 28]","[22, 17, 11]","[20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
9.209155678749084,1.9773337,"[29, 21, 14, 6, 26, 9, 10, 8]","[13, 1, 15, 23]","[3, 19, 5, 28]","[22, 17, 11, 20, 7]",[12],"[18, 24, 27, 25, 16, 4, 2, 0]"
9.195948958396912,1.9835945,"[29, 21, 14, 6, 26, 9, 10, 8]","[23, 15, 19, 1, 13]","[3, 5, 28]","[17, 22]","[11, 20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
8.690565347671509,2.467598,"[9, 26, 6, 14, 21, 29, 13]","[10, 8, 1]","[3, 19, 23, 15, 17, 22, 11]",[],"[5, 28]","[18, 24, 20, 7, 12, 27, 25, 16, 4, 2, 0]"
9.31010389328003,1.9723017,"[29, 21, 14, 6, 26, 9, 10]","[8, 23, 15, 1, 13]","[3, 19, 5, 28]","[22, 17, 11, 12]","[20, 24, 27, 7]","[18, 25, 16, 4, 2, 0]"
9.813473105430603,1.9484994,"[29, 21, 14, 6]","[9, 10, 8, 23, 15, 1, 26]","[13, 19, 3, 5, 28]","[22, 17, 11, 12]","[7, 24, 20]","[0, 2, 4, 16, 27, 25, 18]"
9.503923892974854,1.9562864,"[29, 21, 14, 6]","[26, 13, 1, 15, 23, 8, 10, 9]","[3, 19, 5]","[28, 12]","[7, 20, 24, 11, 22, 17]","[18, 25, 27, 16, 4, 2, 0]"
9.20175552368164,1.986767,"[9, 26, 6, 14, 21, 29]","[10, 8, 13]","[12, 1, 15, 23, 19, 3, 5, 28]","[22, 17, 11]","[7, 24, 20]","[18, 25, 27, 16, 4, 2, 0]"
9.456285119056702,1.9783424,"[13, 29, 21, 14, 6, 26]","[9, 10, 8, 23, 15, 1]","[3, 19, 5, 28]","[22, 17, 11, 12]","[7, 20]","[18, 24, 27, 25, 16, 4, 2, 0]"
10.154377698898315,1.9774086,"[29, 21, 14, 6, 26, 9, 10, 8, 15]","[13, 1, 23]","[28, 5, 3, 19, 22]","[17, 11, 20, 7, 12]","[24, 27, 25, 18]","[2, 4, 16, 0]"
10.612571597099304,1.9484994,"[29, 21, 14, 6]","[26, 13, 1, 15, 8, 10, 9]","[3, 19, 23, 5, 28]","[22, 17, 11, 12]","[18, 24, 20, 7]","[25, 27, 16, 4, 2, 0]"
9.224066615104675,2.009801,"[29, 21, 14, 6]","[9, 10, 13, 26]","[3, 19, 23, 15, 8, 1]","[11, 20, 17, 22]","[5, 28, 12, 7, 24]","[18, 25, 27, 16, 4, 2, 0]"
9.294960021972656,1.9869908,"[9, 26, 6, 14, 21, 29]","[10, 1, 13]","[8, 15, 23, 19, 3]","[22, 17, 11]","[5, 28, 12, 7, 20]","[18, 24, 27, 25, 16, 4, 2, 0]"
9.209215521812439,2.1442752,"[29, 21, 14, 6]","[9, 10, 8, 26]","[28, 5, 3, 19, 23, 15, 1, 13, 12]","[24, 7, 20, 11, 17, 22]",[27],"[18, 25, 16, 4, 2, 0]"
9.33577585220337,2.044465,"[29, 21, 14, 6]","[9, 10, 13, 26]","[28, 5, 3, 19, 23, 15, 8, 1]","[22, 17, 11, 20, 12]","[7, 27, 24]","[18, 25, 16, 4, 2, 0]"
9.462713837623596,1.9934047,"[29, 21, 14, 6, 26]","[9, 10, 8, 15, 23, 19, 1, 13]","[28, 5, 3, 17, 22, 11, 24, 20, 7, 12]","[0, 18, 27]","[25, 16]","[2, 4]"
9.603758454322815,1.990298,"[29, 21, 14, 6]","[9, 10, 8, 15, 1, 13, 26]","[3, 19, 23, 5, 28]","[22, 17, 11, 20, 7, 12, 24]",[27],"[18, 25, 16, 4, 2, 0]"
9.334653377532959,2.1439047,"[29, 21, 14, 6, 26]","[10, 8, 9]","[28, 5, 3, 19, 23, 15, 1, 13]","[22, 17, 11]","[20, 7, 12]","[18, 24, 27, 25, 16, 4, 2, 0]"
9.404220938682556,2.118206,"[29, 21, 14, 6]","[9, 10, 13, 26]","[1, 8, 15, 23, 19, 3, 5]","[22, 17, 11, 20, 28, 12, 7, 24]",[27],"[18, 25, 16, 4, 2, 0]"
