f1,f2,robot_1,robot_2,robot_3,robot_4
8.946431159973145,2.5182805,"[11, 15, 20, 17, 8, 27, 18, 21]","[2, 14, 9, 6, 24, 28, 23, 25, 16, 7]","[1, 0, 10, 3, 29, 22, 12, 19]","[26, 4, 5, 13]"
8.503785848617554,2.6705768,"[11, 15, 20, 17, 8, 19, 18, 23]","[2, 14, 9, 6, 24, 28, 26, 25, 16, 7]","[27, 21, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
8.443724870681763,2.7529182,"[11, 15, 20, 17, 8, 19, 18, 23]","[2, 14, 9, 6, 24, 28, 25, 16, 7]","[27, 21, 12, 22, 26, 29, 3, 4, 10, 0, 1]","[13, 5]"
8.350338578224182,2.843189,"[14, 15, 20, 17, 8, 19, 18, 11, 23]","[2, 6, 9, 24, 7]","[27, 28, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 1]","[0, 5, 13]"
8.20887303352356,2.96281,"[23, 18, 19, 8, 17, 20, 15, 27, 11]","[2, 14, 9, 6, 24, 16, 7]","[28, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
7.922992587089539,3.1440492,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[7, 16, 24]","[28, 23, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
8.397954106330872,2.838929,"[23, 18, 19, 8, 17, 20, 15, 11]","[2, 14, 9, 6, 24, 7]","[27, 28, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 1]","[0, 5, 13]"
8.122053384780884,3.0025153,"[14, 15, 20, 27, 17, 8, 19, 18, 11, 23]","[2, 6, 9, 24, 7]","[28, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10, 0, 1]","[13, 5]"
7.950453519821167,3.0475073,"[18, 19, 8, 17, 27, 20, 15]","[2, 14, 9, 6, 24, 11, 28, 23, 25, 21, 16, 7]","[1, 0, 10, 26, 12, 22, 29, 3, 4, 5, 13]",[]
7.734297871589661,3.1874146,"[24, 11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[21, 16, 23, 28, 25, 26, 22, 12, 7]","[0, 29, 3, 4, 10, 1]","[13, 5]"
8.134430885314941,3.0805006,"[21, 11, 18, 27, 8, 17, 20, 15, 14, 9, 6, 2]","[24, 28, 23, 16, 25, 12, 7]","[19, 0, 10, 26, 22, 29, 3, 4, 5, 1]",[13]
8.606018543243408,2.6772566,"[11, 27, 15, 20, 17, 8, 19, 18, 23]","[2, 14, 9, 6, 24, 7]","[28, 16, 21, 25, 26, 12, 22, 29, 10, 0]","[1, 4, 3, 5, 13]"
8.483697056770325,2.96281,"[23, 18, 19, 8, 17, 20, 15, 27, 11]","[2, 14, 9, 6, 24, 7]","[28, 16, 21, 25, 26, 12, 22, 29, 3, 4, 10]","[0, 1, 5, 13]"
