f1,f2,robot_1,robot_2,robot_3
7.004705905914307,2.471546,"[18, 4, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 12, 1, 0, 14, 27, 2, 28]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.185092449188232,2.4790273,"[18, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[15, 4, 12, 1, 0, 14, 27, 2, 28]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.153449058532715,3.1101632,"[20, 9, 23, 25, 10, 28, 15]","[11, 4, 18, 6, 7, 13]","[22, 21, 0, 12, 1, 14, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.288735866546631,2.6008596,"[13, 11, 20, 9, 23, 25, 10, 28, 15, 4]","[7, 6, 18, 12, 1, 0, 14]","[16, 8, 26, 5, 24, 17, 19, 3, 29, 2, 27, 21, 22]"
7.190595388412476,2.619983,"[6, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 7, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.291874408721924,2.5282884,"[18, 4, 15, 28, 10, 25, 23, 9, 20, 11, 13, 7, 6]","[12, 1, 0, 21, 8, 26, 14]","[16, 5, 24, 17, 19, 3, 29, 2, 27, 22]"
7.270329713821411,2.619983,"[4, 20, 9, 23, 25, 10, 28, 15]","[13, 7, 6, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.191642761230469,3.1101632,"[4, 20, 9, 23, 25, 10, 28, 15]","[11, 7, 6, 18, 13]","[22, 21, 0, 12, 1, 14, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
7.300441265106201,2.5875964,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 0, 14, 27, 11]","[22, 21, 8, 26, 2, 29, 3, 19, 17, 24, 5, 16]"
7.30937385559082,2.619983,"[7, 20, 9, 23, 25, 10, 28, 15, 4]","[13, 6, 18, 12, 1, 0, 14, 11]","[22, 21, 8, 26, 27, 2, 29, 3, 19, 17, 24, 5, 16]"
7.278890371322632,2.6263897,"[4, 15, 28, 10, 25, 23, 9, 20, 11]","[13, 7, 6, 18, 12, 1, 0, 14, 27, 2]","[22, 21, 8, 26, 5, 29, 3, 19, 17, 24, 16]"
7.318963289260864,2.6218615,"[13, 11, 20, 9, 23, 25, 10, 28, 15, 4]","[7, 6, 18, 12, 1, 0, 14, 27, 2]","[16, 24, 17, 19, 3, 29, 5, 26, 8, 21, 22]"
7.281306266784668,2.7408938,"[15, 28, 10, 25, 23, 9, 20, 4]","[13, 7, 6, 18, 12, 1, 14, 11]","[22, 21, 0, 27, 2, 29, 3, 19, 17, 24, 5, 26, 8, 16]"
