f1,f2,robot_1,robot_2,robot_3,robot_4
7.703649044036865,2.2643125,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19]","[0, 18, 25, 7, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 22, 8]","[11, 13, 9, 34, 20]"
7.291240453720093,2.5396075,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 7, 25, 18, 0]","[31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 8]","[22, 11, 13, 9, 34, 20]"
7.57788348197937,2.4120421,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 25, 18]","[0, 7, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[8, 14, 30]","[12, 26, 6, 1, 2, 36, 13, 39, 22, 11, 9, 34, 20]"
7.492510914802551,2.4994864,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 25, 18, 7]","[0, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 8]","[20, 34, 9, 13, 11, 22]"
7.6532963514328,2.2691243,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 7]","[0, 25, 18, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 11, 22, 8]","[20, 34, 9, 13]"
7.177650213241577,2.5662053,"[31, 28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 7, 25, 18, 0]","[3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 20, 8]","[22, 11, 13, 9, 34]"
7.619961738586426,2.4765327,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 25, 7]","[0, 18, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[8, 14, 30]","[12, 26, 6, 1, 2, 36, 13, 39, 22, 11, 9, 34, 20]"
7.510582089424133,2.4994864,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 25, 18, 7]","[0, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 22, 8]","[11, 13, 9, 34, 20]"
7.309311628341675,2.5396075,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 7, 25, 18, 0]","[31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 22, 8]","[11, 13, 9, 34, 20]"
7.631764769554138,2.4120421,"[28, 32, 17, 21, 24, 4, 16, 38, 15, 35, 19, 25, 18]","[0, 7, 31, 3, 5, 27, 33, 23, 29, 37, 10]","[30, 14, 12, 26, 6, 1, 36, 2, 39, 8]","[20, 34, 9, 13, 11, 22]"
