f1,f2,robot_1,robot_2,robot_3,robot_4
8.822144031524658,2.5322683,"[11, 18, 19, 8, 17, 20, 15, 14]","[2, 6, 9, 27, 24]","[0, 28, 23, 16, 21, 25, 26, 10]","[1, 7, 12, 22, 29, 3, 4, 5, 13]"
7.023805469274521,2.5957093,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[16, 21, 23, 28, 24]","[10, 4, 3, 29, 26, 22, 12, 7, 25, 0, 1]","[13, 5]"
8.83896541595459,2.4385507,"[11, 19, 8, 17, 20, 15, 14]","[24, 18, 27, 9, 6, 2]","[0, 28, 23, 16, 21, 25, 26, 10]","[1, 7, 12, 22, 29, 3, 4, 5, 13]"
9.197084188461304,2.38767,"[11, 18, 19, 8, 20, 9, 14, 2]","[6, 15, 17, 27, 16, 24]","[0, 28, 23, 21, 25, 3, 4, 10]","[1, 7, 12, 22, 26, 29, 5, 13]"
6.882758349180222,2.6483393,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6]","[24, 23, 25, 21, 16, 2]","[10, 4, 3, 29, 26, 22, 12, 7, 28, 0, 1]","[13, 5]"
9.19566035270691,2.535067,"[11, 18, 19, 8, 17, 20, 15, 9]","[24, 16, 21, 23, 28, 27, 14, 6, 2]","[0, 7, 25, 26, 22, 29, 3, 10]","[1, 12, 4, 5, 13]"
7.049673408269882,2.5957093,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6, 2]","[24, 28, 23, 25, 21, 16, 7]","[10, 4, 3, 29, 22, 12, 26, 0, 1]","[13, 5]"
9.33985948562622,2.4614768,"[11, 19, 8, 17, 20, 15, 9]","[2, 6, 14, 27, 18, 24]","[28, 23, 16, 21, 26]","[1, 0, 25, 7, 12, 22, 29, 3, 4, 10, 5, 13]"
9.46677303314209,2.4602127,"[11, 19, 8, 17, 20, 15, 9]","[2, 6, 14, 27, 18, 24]","[28, 23, 16, 21, 26, 22, 29, 3]","[13, 5, 10, 4, 12, 7, 25, 0, 1]"
6.893050044775009,2.6483393,"[11, 18, 19, 8, 17, 27, 20, 15, 14, 9, 6]","[24, 28, 23, 25, 21, 16, 7, 2]","[10, 4, 3, 29, 22, 12, 26, 0, 1]","[13, 5]"
