f1,f2,robot_1,robot_2,robot_3,robot_4
7.669299483299255,2.7328782,"[20, 5, 22, 13]","[9, 21, 25, 1, 28, 29, 19, 15, 11, 4, 27, 2, 0, 23]","[14, 8, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
7.812795877456665,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 15, 11, 4, 27, 2, 0, 23]","[14, 18, 8, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 24, 6]"
7.364909589290619,2.8722708,"[13, 20, 25, 21, 5, 22]","[23, 0, 27, 4, 11, 15, 19, 29, 28, 1, 8, 2, 9]","[12, 16, 17, 26, 14]","[3, 7, 10, 18, 24, 6]"
7.510248482227325,2.8722708,"[13, 20, 25, 21, 5, 22]","[9, 0, 23]","[2, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.838734149932861,2.4518516,"[20, 5, 22, 13]","[23, 0, 27, 2, 25, 21, 9]","[8, 4, 11, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.853532433509827,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 4, 11, 27, 2, 0, 23]","[14, 8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
7.456698894500732,3.3431509,"[20, 5, 22, 13]","[23, 0, 2, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12, 25, 21, 9]","[18, 3, 7, 14]","[10, 24, 6]"
7.560323357582092,2.9607856,"[20, 5, 22, 13]","[9, 0, 2, 27, 23]","[25, 21, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.865839004516602,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 4, 11, 27, 2, 0, 23]","[8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.553431987762451,3.1533532,"[2, 9, 21, 25, 20, 5, 22]","[0, 23]","[13, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.868575751781464,2.8867307,"[20, 5, 22, 13]","[23, 0, 27, 2, 25, 21, 9]","[14, 3, 7, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[10, 18, 24, 6]"
7.742920815944672,3.0630522,"[13, 20, 25, 21, 5, 22]","[9, 0]","[2, 23, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.874254584312439,2.6449234,"[20, 5, 22, 13]","[9, 21, 2, 27, 0, 23]","[25, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[6, 24, 18, 14, 10, 7, 3]"
7.938931584358215,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 15, 11, 4, 27, 2, 0, 23]","[14, 8, 19, 29, 28, 1, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
7.670422613620758,3.0866466,"[29, 28, 13, 22, 5, 20, 2, 0]","[9, 21, 7, 25, 17, 26, 8, 1, 19, 15, 11, 4, 27, 23]","[16, 12, 14, 18]","[3, 10, 24, 6]"
7.912685036659241,2.772829,"[20, 5, 22, 13]","[23, 0, 2, 25, 21, 9]","[14, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
7.738030552864075,3.0866466,"[29, 28, 13, 22, 5, 20, 2, 0]","[23, 27, 4, 11, 15, 19, 1, 8, 26, 25, 7, 21, 9]","[18, 10, 14, 17, 16, 12]","[3, 24, 6]"
7.951237916946411,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 15, 11, 4, 27, 2, 0, 23]","[8, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.951976895332336,3.0060399,"[13, 22, 5, 20, 2]","[23, 0, 27, 4, 9]","[14, 18, 25, 21, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 24, 6]"
7.985298752784729,2.4654458,"[20, 5, 22]","[9, 21, 25, 13, 4, 11, 27, 2, 0, 23]","[14, 8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
8.037532567977905,2.3783576,"[20, 5, 22, 13]","[9, 21, 25, 15, 19, 11, 4, 27, 2, 0, 23]","[8, 1, 29, 28, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.9881792068481445,2.4036193,"[20, 5, 22, 13]","[9, 21, 25, 4, 27, 2, 0, 23]","[8, 15, 11, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
7.829137563705444,3.2104452,[],"[0, 2, 22, 5, 20, 9]","[25, 21, 23, 27]","[3, 7, 13, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12, 14, 18, 10, 24, 6]"
8.297319650650024,2.366475,"[20, 5, 22, 13]","[9, 21, 25, 4, 11, 27, 2, 0, 23]","[8, 15, 19, 29, 28, 1, 26, 17, 16]","[6, 24, 10, 18, 14, 12, 7, 3]"
7.939057409763336,3.2265563,"[29, 28, 13, 22, 5, 20, 9, 23, 0, 2, 27, 4, 11]","[21, 7, 25, 26, 8, 1, 19, 15]","[12, 16, 17, 14]","[3, 10, 18, 24, 6]"
8.038108944892883,2.4654458,"[20, 5, 22]","[9, 21, 25, 13, 15, 11, 4, 27, 2, 0, 23]","[14, 8, 19, 29, 28, 1, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
8.028881549835205,2.726554,"[13, 22, 5, 20, 2]","[23, 0, 27, 11, 4, 25, 21, 9]","[14, 18, 8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 24, 6]"
7.9840198159217834,3.145395,"[29, 28, 13, 22, 5, 20, 9, 23, 0, 2, 27]","[21, 7, 25, 26, 8, 1, 19, 15, 11, 4]","[12, 16, 17, 14]","[3, 10, 18, 24, 6]"
8.419659852981567,2.4204447,"[20, 5, 22, 13]","[9, 21, 25, 4, 27, 2, 0, 23]","[8, 15, 11, 19, 29, 28, 1, 26, 17, 16]","[6, 24, 10, 18, 14, 12, 7, 3]"
7.8686670660972595,3.2965887,"[13, 22, 5, 20, 25, 21, 9, 0]","[2, 23]","[14, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
8.009155571460724,3.2199025,"[29, 28, 13, 22, 5, 20, 9, 23, 0, 2]","[21, 7, 25, 26, 8, 1, 19, 15, 11, 4, 27]","[16, 17, 12]","[6, 24, 18, 14, 10, 3]"
8.042804479598999,2.503991,"[20, 5, 22]","[9, 21, 25, 13, 27, 2, 0, 23]","[14, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 18, 24, 6]"
7.88929283618927,3.3431509,"[20, 5, 22, 13]","[23, 0, 2, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12, 25, 21, 9]","[7, 3, 10]","[14, 18, 24, 6]"
7.971844375133514,3.2288592,"[13, 22, 5, 20, 9, 23, 0, 2, 27, 4]","[21, 25, 26, 8, 1, 28, 29, 19, 15, 11]","[12, 16, 17, 14, 18]","[3, 7, 10, 24, 6]"
8.050415277481079,2.4654458,"[20, 5, 22]","[9, 21, 25, 13, 15, 11, 4, 27, 2, 0, 23]","[8, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
8.086046934127808,2.8720472,"[20, 25, 21, 5, 22]","[23, 0, 2, 9]","[13, 27, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16]","[6, 24, 10, 18, 14, 12, 7, 3]"
8.05212664604187,3.034123,"[22, 5, 20, 25, 21, 2]","[23, 0, 27, 11, 4, 13, 9]","[8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
8.071703791618347,3.0239687,"[13, 22, 5, 20, 9, 23, 0, 2, 27, 4]","[11, 15, 19, 29, 28, 1, 8, 25, 21]","[12, 16, 17, 26, 14, 18]","[3, 7, 10, 24, 6]"
8.138153791427612,2.4654458,"[20, 5, 22]","[9, 21, 25, 4, 27, 2, 0, 23]","[13, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
8.019987404346466,3.2454224,"[13, 22, 5, 20, 9, 23, 0, 2, 27, 4]","[11, 15, 19, 29, 28, 1, 8, 26, 25, 21]","[12, 16, 17, 14]","[3, 7, 10, 18, 24, 6]"
8.117445290088654,3.2288592,"[13, 22, 5, 20, 9, 23, 0, 2, 27, 4]","[21, 25, 26, 8, 1, 28, 29, 19, 15, 11]","[16, 17, 12]","[6, 24, 18, 14, 10, 7, 3]"
8.02602756023407,3.2965887,"[13, 22, 5, 20, 25, 21, 9, 0]","[23, 27, 11, 4, 2]","[14, 8, 15, 19, 29, 28, 1, 26, 17, 16, 12]","[6, 24, 18, 10, 7, 3]"
8.126388609409332,3.0074055,"[13, 22, 5, 20, 9, 23, 0, 2, 27, 4]","[21, 25, 8, 1, 28, 29, 19, 15, 11]","[12, 16, 17, 26, 14]","[6, 24, 18, 10, 7, 3]"
8.121774077415466,3.0428424,"[2, 0, 9, 20, 5, 22]","[23, 27]","[14, 25, 21, 13, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 18, 24, 6]"
8.138787269592285,2.4654458,"[20, 5, 22]","[23, 0, 2, 27, 4, 13, 25, 21, 9]","[8, 15, 11, 19, 29, 28, 1, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
8.022720098495483,3.2967627,"[2, 0, 23, 9, 21, 25, 20, 5, 22]","[13, 1, 28, 29, 19, 15, 11, 4, 27]","[12, 16, 17, 26, 8, 7, 3, 10, 18, 14]","[24, 6]"
8.147118091583252,2.6398091,"[20, 5, 22, 13]","[23, 0, 2, 27, 4, 21, 9]","[25, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
8.144989252090454,3.2633736,"[22, 5, 20, 25, 21, 9, 23, 0, 2, 27]","[4, 11, 15, 19, 29, 28, 1, 8, 13]","[26, 17, 16, 12]","[6, 24, 18, 14, 10, 7, 3]"
8.251372933387756,2.468677,"[20, 5, 22, 13]","[9, 21, 25, 2, 27, 0, 23]","[8, 4, 11, 15, 19, 29, 28, 1, 26, 17, 16]","[6, 24, 10, 18, 14, 12, 7, 3]"
8.33982515335083,2.56698,"[5, 22, 13]","[23, 0, 2, 27, 4, 11, 19, 15, 20, 25, 21, 9]","[7, 8, 1, 29, 28, 26, 17, 16, 12]","[6, 24, 18, 14, 10, 3]"
8.257848978042603,2.6449234,"[20, 5, 22]","[23, 0, 2, 27, 13, 21, 9]","[25, 4, 11, 15, 19, 29, 28, 1, 8, 26, 17, 16, 12]","[3, 7, 10, 14, 18, 24, 6]"
