f1,f2,robot_1,robot_2,robot_3,robot_4
7.884019613,2.2346475,"[2, 14, 9, 6, 24, 4, 3, 29, 22, 26, 25, 21]","[7, 12, 0, 23, 16]","[19, 11, 28, 10, 1, 5, 13]","[18, 27, 15, 20, 17, 8]"
6.757858515,2.4248626,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[13, 5, 18, 27, 8]","[19, 17, 20, 15, 11, 28, 23, 10, 0, 1]"
6.185007095,2.6418388,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[13, 5]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 18]"
6.788347483,2.2751155,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[27, 28, 10, 0, 5, 13]","[18, 1, 23, 11, 15, 20, 17, 8, 19]"
6.26360631,2.5297737,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[19, 1, 5, 13]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
5.909845233,3.0074544,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 19]","[8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
6.535189629,2.4306479,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 28, 23, 10, 0, 1]","[19, 8, 17, 20, 15, 27, 11, 5, 13]"
5.891901314,3.0089483,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[18],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1, 5, 13]"
5.338954687,3.0831926,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
5.649040103,3.0816984,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]",[19]
6.270280123,2.987937,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 1]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 5, 13]"
6.233855546,3.064202,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],[1],"[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 5, 13, 18]"
6.471918404,2.531268,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],"[1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 18]"
6.285037041,2.6247163,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0, 1]"
6.937073588,2.511112,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[12],"[0, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 18]"
6.035804927,3.0816984,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12]",[7],[19],"[8, 17, 20, 15, 27, 11, 28, 23, 10, 5, 13, 1, 0, 18]"
6.951925755,2.4306479,"[2, 14, 9, 6, 24, 16, 21, 25, 4, 3, 29, 22, 26, 7]",[],"[19, 8, 17, 20, 15, 27, 11, 5, 13]","[18, 28, 23, 12, 10, 0, 1]"
6.28828907,2.6217136,"[2, 14, 9, 6, 24, 16, 21, 25, 26, 4, 3, 29, 22, 12, 7]",[],"[18, 1, 5, 13]","[19, 8, 17, 20, 15, 27, 11, 28, 23, 10, 0]"
