f1,f2,robot_1,robot_2,robot_3,robot_4
7.278131723,2.4198706,"[10, 19, 38, 13, 28, 15, 23, 30, 37, 5, 7]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.631256342,2.202413,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
8.198508382,2.1799705,"[5, 37, 30, 23, 15, 28]","[29, 20, 22, 34, 25, 16, 38, 13, 19, 10, 31, 36, 39]","[26, 24, 12, 2, 14, 3, 6, 7]","[18, 27, 32, 4, 9, 1, 35, 11, 17, 8, 0, 21, 33]"
7.406003714,2.365553,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.314545751,2.4040194,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.540433407,2.3078508,"[7, 5, 37, 30, 23, 15, 28, 13, 19]","[39, 36, 31, 10, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
5.75,2.1,"[6,2,1,35,11,3,14]","[29,20,22,34,25,16,31,36,39]","[30, 23, 15, 28, 13, 38, 19, 10, 12, 24, 7, 26, 5, 37]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.52775526,2.3497016,"[5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.235463142,2.4198709,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.618956923,2.287076,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[27, 32, 17, 8, 0, 21, 33]"
7.206515253,2.535111,"[7, 26, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 17, 8, 32]","[33, 21, 0, 27, 18]"
8.198765159,2.163181,"[5, 37, 30, 23, 15, 28]","[39, 36, 31, 10, 19, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1]","[18, 27, 32, 4, 9, 35, 11, 17, 8, 0, 21, 33]"
8.198765159,2.163181,"[5, 37, 30, 23, 15, 28]","[29, 20, 22, 34, 25, 16, 38, 13, 19, 10, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1]","[18, 27, 32, 4, 9, 35, 11, 17, 8, 0, 21, 33]"
7.220234871,2.4268193,"[36, 10, 19, 38, 13, 28, 15, 23, 30, 37, 5, 7]","[39, 22, 31, 16, 25, 34, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.74255991,2.202413,"[7, 5, 37, 30, 23, 15, 28, 19]","[29, 20, 22, 34, 25, 16, 38, 13, 10, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.436373115,2.365553,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[33, 21, 0, 8, 17, 32, 27]"
7.570802808,2.3078508,"[7, 5, 37, 30, 23, 15, 28, 13, 19]","[39, 36, 31, 10, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[27, 32, 17, 8, 0, 21, 33]"
7.22321862,2.535111,"[7, 26, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10, 31, 36]","[39, 22, 16, 25, 34, 20, 29]","[24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 17, 8, 32]","[33, 21, 0, 27, 18]"
7.190531433,2.5403948,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10, 31, 36]","[39, 22, 16, 25, 34, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 17, 8, 32]","[33, 21, 0, 27, 18]"
8.224389434,2.163181,"[5, 37, 30, 23, 15, 28]","[39, 36, 31, 10, 19, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35]","[18, 27, 32, 4, 9, 11, 17, 8, 0, 21, 33]"
7.244442523,2.5274227,"[24, 7, 26, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 17, 8, 32]","[33, 21, 0, 27, 18]"
7.74255991,2.202413,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.684822798,2.2537506,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 18]","[27, 32, 4, 17, 8, 0, 21, 33]"
7.662184954,2.2950294,"[5, 37, 30, 23, 15, 28, 13, 19]","[29, 20, 22, 34, 25, 16, 38, 10, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.265832663,2.4198709,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[27, 32, 17, 8, 0, 21, 33]"
7.179527044,2.5461824,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 17, 8, 32, 18]","[33, 21, 0, 27]"
7.344915032,2.4040194,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[27, 32, 17, 8, 0, 21, 33]"
7.25216651,2.4825294,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10, 31, 36]","[39, 22, 16, 25, 34, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.255786538,2.4784045,"[12, 24, 26, 5, 37, 30, 23, 15, 28, 13, 38, 10, 19, 7]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[4, 9, 35, 1, 2, 6, 14, 3, 11, 17, 8]","[33, 21, 0, 32, 27, 18]"
7.265832663,2.4198709,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[33, 21, 0, 8, 17, 32, 27]"
7.176089466,2.8968532,"[7, 26, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10, 31, 16, 25, 34, 22]","[39, 36, 20, 29]","[24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.581321716,2.3497016,"[5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 18]","[33, 21, 0, 8, 17, 4, 32, 27]"
7.268150449,2.4578419,"[7, 26, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4]","[18, 27, 32, 17, 8, 0, 21, 33]"
7.226523578,2.816297,"[36, 31, 10, 19, 5, 37, 30, 23, 15, 28, 13, 38, 16, 25, 34]","[39, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.35721457,2.4040194,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.278132081,2.4198709,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.181746721,2.9198136,"[39, 36, 31, 10, 19, 5, 37, 30, 23, 15, 28, 13, 38, 16, 25, 34, 22, 20, 29]","[3, 14, 2, 12, 24, 26, 7, 6]","[4, 17, 11, 35, 1, 9]","[33, 21, 0, 8, 32, 27, 18]"
7.448672533,2.365553,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.743372917,2.2950294,"[5, 37, 30, 23, 15, 28]","[39, 36, 31, 10, 19, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.854676485,2.2685294,"[5, 37, 30, 23, 15, 28]","[39, 36, 31, 10, 19, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.583102226,2.3078508,"[19, 13, 28, 15, 23, 30, 37, 5, 7]","[29, 20, 22, 34, 25, 16, 38, 10, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
8.086648464,2.202413,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1]","[18, 27, 32, 4, 9, 35, 11, 17, 8, 0, 21, 33]"
7.773488522,2.2919996,"[5, 37, 30, 23, 15, 28, 13, 19]","[39, 36, 31, 10, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.311635375,2.4198709,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[39, 36, 31, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35, 11, 17, 4, 9]","[18, 27, 32, 8, 0, 21, 33]"
8.112272859,2.202413,"[7, 5, 37, 30, 23, 15, 28, 19]","[39, 36, 31, 10, 13, 38, 16, 25, 34, 22, 20, 29]","[26, 24, 12, 2, 6, 14, 3, 1, 35]","[18, 27, 32, 4, 9, 11, 17, 8, 0, 21, 33]"
7.265153825,2.843031,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10, 31, 16, 25, 34, 22]","[39, 36, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9]","[18, 27, 32, 4, 17, 8, 0, 21, 33]"
7.856426001,2.2864351,"[5, 37, 30, 23, 15, 28, 13]","[39, 36, 31, 10, 19, 38, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
7.515455842,2.38201,"[5, 37, 30, 23, 15, 28, 13, 38, 19]","[39, 36, 31, 10, 16, 25, 34, 22, 20, 29]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 4, 18]","[27, 32, 17, 8, 0, 21, 33]"
7.410781026,2.4040194,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 18]","[33, 21, 0, 8, 17, 4, 32, 27]"
7.410781026,2.4040194,"[5, 37, 30, 23, 15, 28, 13, 38, 19, 10]","[29, 20, 22, 34, 25, 16, 31, 36, 39]","[26, 7, 24, 12, 2, 6, 14, 3, 1, 35, 11, 9, 18]","[27, 32, 4, 17, 8, 0, 21, 33]"
7.559975982,2.365553,"[7, 5, 37, 30, 23, 15, 28, 13, 38, 19]","[29, 20, 22, 34, 25, 16, 10, 31, 36, 39]","[26, 24, 12, 2, 6, 14, 3, 11, 35, 1]","[18, 27, 32, 4, 9, 17, 8, 0, 21, 33]"
